Date,Type Ia,Type Ib,Type II,Type Apple,Type Bump,Type Rain,Type Featureless,Nonevent,Undefined
02-Jan-2004,0,0,0,0,0,0,0,0,1
03-Jan-2004,0,0,0,0,0,0,0,0,1
04-Jan-2004,0,0,0,0,0,0,0,1,0
05-Jan-2004,0,0,0,0,0,0,0,0,1
06-Jan-2004,0,0,0,0,0,0,0,1,0
07-Jan-2004,0,0,0,0,0,0,0,1,0
08-Jan-2004,0,0,0,0,0,0,0,1,0
09-Jan-2004,0,0,0,0,0,0,0,1,0
10-Jan-2004,0,0,0,0,0,0,0,0,1
11-Jan-2004,0,0,0,0,0,0,0,1,0
12-Jan-2004,0,0,0,0,0,0,0,0,1
13-Jan-2004,0,0,0,0,0,0,0,1,0
14-Jan-2004,0,0,0,0,0,0,0,1,0
15-Jan-2004,0,0,0,0,0,0,0,1,0
16-Jan-2004,0,0,0,0,0,0,0,1,0
17-Jan-2004,0,0,0,0,0,0,0,0,1
18-Jan-2004,0,0,0,0,0,0,0,0,1
19-Jan-2004,0,0,0,0,0,0,0,0,1
20-Jan-2004,0,0,0,0,0,0,0,0,1
21-Jan-2004,0,0,0,0,0,0,0,1,0
22-Jan-2004,0,0,0,0,0,0,0,1,0
23-Jan-2004,0,0,0,0,0,0,0,1,0
24-Jan-2004,0,0,0,0,0,0,0,1,0
25-Jan-2004,0,0,0,0,0,0,0,0,1
26-Jan-2004,0,0,0,0,0,0,0,1,0
27-Jan-2004,0,0,0,0,0,0,0,0,1
28-Jan-2004,0,0,0,0,0,0,0,0,1
29-Jan-2004,0,0,0,0,0,0,0,0,1
30-Jan-2004,0,0,0,0,0,0,0,0,1
31-Jan-2004,0,0,0,0,0,0,0,1,0
01-Feb-2004,0,0,0,0,0,0,0,1,0
02-Feb-2004,0,0,0,0,0,0,0,0,1
03-Feb-2004,0,0,0,0,0,0,0,1,0
04-Feb-2004,0,0,0,0,0,0,0,0,1
05-Feb-2004,0,0,0,0,0,0,0,0,1
06-Feb-2004,0,0,0,0,0,0,0,1,0
07-Feb-2004,0,0,0,0,0,0,0,0,1
08-Feb-2004,0,0,0,0,0,0,0,0,1
09-Feb-2004,0,0,0,0,0,0,0,0,1
10-Feb-2004,0,0,1,0,0,0,0,0,0
11-Feb-2004,0,0,0,0,0,0,0,1,0
12-Feb-2004,0,0,1,0,0,0,0,0,0
13-Feb-2004,0,0,0,0,0,0,0,1,0
14-Feb-2004,0,0,0,0,0,0,0,0,1
